"mname","symptoms","diseases","category","unit","unit_price","package_unit","package_price","drug","per_unit","indication","contraindication","caution","side_effect"
"A One(Vit B2)","Cracked lips; mouth soreness; sore throat; skin rash; eye irritation","Riboflavin deficiency; ariboflavinosis","Capsule","1 Capsule","4.5","10 Capsule","45.0","Vit B2","1 mg","To prevent and treat ariboflavinosis.","","",""
"A One(Vit A)","Night vision problems; dry eyes; dry/scaly skin; acne-like skin problems","Vitamin A deficiency; acne; psoriasis; ichthyosis; hepatobiliary disease-related deficiency","Capsule","1 Capsule","4.5","10 Capsule","45.0","Vit A","5000 iu","It deficiency during infancy,pregnancy,lactation,heptatobillary disease.Skin diseases like acne vulgaria,acne venenata,posiriasis,ichthyosis.","Acute eczema,rosacea,cuts,abrasions.Acute dermatitis.Pregnancy and lactation.","Avoid exposure to sunlight,UV lamps.Avoid concomitant therapy with conventional acne,medical or cosmetic products.Regular use of liquid paraffin.","Feeling of warmth,stinging,excessive redness,oedema and crusting.Dry eyes,Hair thinning,photosensitivity,changes in skin pigmentation.Musculoskeletal symptoms,GI disturbances,hepatits."
"A One(Vit C)","Bleeding gums; fatigue; poor wound healing; body ache; cold symptoms","Scurvy; vitamin C deficiency; common cold support; asthma/thalassaemia/metabolic disorder support","Capsule","1 Capsule","4.5","10 Capsule","45.0","Vit C","100 mg","Treatment of scurvy.Adjuvent therapy in common cold,asthma,cancer,atherosclerosis.Thalassaemia.Metabolic disorders.","","G6PD deficiency.Haemochromatosis,hyperoxaluria.","Rebound scurvy on stoppage.Increase risk of urinary oxalate stones."
"A Pro(200 gm)","Fatigue; weakness; pallor; pregnancy nutritional requirement","Folate deficiency; megaloblastic anaemia; malabsorption-related deficiency; neural tube defect prophylaxis","Powder","200 gm","140.0","20 gm","140.0","Folic Acid(Vit B9)","166 mcg","Folate-deficient.Megaloblastic anemia.Prophylaxis of megaloblastic anemia in pregnancy,neural tube defect in pregnancy.Malabsorption syndromes.Antiepileptic therapy.","","",""
"A Pro(200 gm)(Calcium)","Muscle cramps; bone pain; weakness; increased calcium requirement","Calcium deficiency; osteopenia; osteoporosis risk; pregnancy/lactation/childhood calcium requirement","Powder","200 gm","140.0","20 gm","140.0","Calcium","600 mg","Calcium supplements are usually required where dietary calcium intake is deficient.This dietary requirement varies with age and is relatively greater in chidhoood,pregnancy and lactation due to an increased demand.Calcium supplement is lso required in paused menopausal women and persons with osteopenia specially after the age of 60 years","","",""
"A Rex(100 ml)","Itching; skin rash; hives; anxiety/restlessness","Pruritus; allergic skin conditions; anxiety","Drop","1 ml","36.0","100 ml","35.9","Hydroxyzine Hcl","6 mg","Pruritus","Prostatic Hypertrophy.","Anxiely(short-term)","Urinary retention."
"Arjet Spray(50 ml)","Muscle pain; joint pain; sprain pain; stiffness","Musculoskeletal pain; sprain/strain; topical pain relief","Spray","50 ml","27.79","50 ml","27.79","Camphor","1500 mg","","","",""
"B 12(Inj)","Fatigue; weakness; numbness/tingling; memory or mood symptoms; poor concentration","Vitamin B12 deficiency; megaloblastic anaemia; neuropathy; tobacco amblyopia support","Injection","1 ml","2.73","2 ml","5.45","Vit B12","500 mcg","Vitamin B12 deficiency.Neuropathies,psychiatrics disorders.Tobacco amblyopia-hydroxocobalamin is of some benefit.","Hypersensitivity.","",""
"B Alpha(500 mg+0.25 mcg)","Muscle cramps; bone pain; weakness; low calcium symptoms","Calcium deficiency; hypocalcaemia; osteopenia/osteoporosis support","Tablet","1 Tablet","5.99","10 Tablet","59.9","Calcium Carbonate","500 ng","Calcium deficiency.","Conditions associated with hypercalcaemia and hypercalciuria.(e.g. some forms of malignant disease)","Renal impairment,Sarcoidosis,history of nephrolithiasis,avoid calcium chloride in respiratory acidosis or respiratory failure.","Gastro-intestinal disturbances,bradycardia."
"B Cal","Bone pain; muscle weakness; fatigue; low calcium symptoms","Vitamin D deficiency; rickets/osteomalacia; hypocalcaemia; postmenopausal osteoporosis support","Tablet","1 Tablet","4.33","15 Tablet","65.0","Vit D3","200 iu","Vitamin D deficiency.","Vitamin D deficiency caused by intestinal malabsorption or chronic liver disease","The hypocalcaemia of hypoparathyrodism","Management of postmenopausal osteoporosis."
"B Complex","Weakness; fatigue; tingling; numbness; confusion; poor appetite","Thiamine deficiency; beriberi; Wernicke-Korsakoff syndrome","Tablet","1 Tablet","0.11","1000 Tablet","110.0","Vit B1","2 mg","Thiamine deficiency.Wernicle-Korsakoff syndrome.","Hypersensitivity.","High requirements in pregnancy and lactation.","Warm sensation,tingling,pruritus,pain,urticaria,weakness,sweating,nausea,restleness,tightness of the throat,GI bleeding."
"B Clear(Nasal)(5 ml)","Blocked nose; nasal congestion; sneezing; sinus stuffiness","Nasal congestion; common cold; allergic rhinitis; sinusitis; conjunctival congestion","Drop","5 ml","32.7","5 ml","32.7","Xylometazoline Hydrochloride","0.1% w/v","Nasal congestion.Conjunctival decongestant.","Glaucoma.Dry rhinitis,post trans-sphenoidal hypophysectomy,trans-nasal,trans-oral surgery where dura mater is exposed.Pregnancy.","Young children,pregnancy and lactaton.Hypertension,CV abnormalities,DM,hyperthyroidism.Prostate enlargement.","Stinging sensation,sneezing,dryness of mouth and throat,rebound congestion,mild burning.Headche,insomnia,hypertension,nervousness,dryness of eye."
"B Muce","Skin redness; pus; boils; crusting; localized burning/itching","Impetigo; secondary bacterial skin infection","Ointment","5 gm","70.0","5 gm","70.0","Mupirocin","2 % w/v","Impetigo.Secondary skin infections.","Hypersensitivity.Not suitable for ophthalamic or intranasal use.Pregnancy and lactation.","Renal Impairment,extensive burns or open wounds.Children.","Itching,burning,erythema,stinging and dryness,localised to the area of application."
"Calcindon(Inj)","Local pain; burning/irritation; procedure-related pain; numbness requirement; hemorrhoid pain","Local/surface anesthesia; peripheral nerve block; hemorrhoids; ventricular arrhythmias","Injection","10 ml","11.95","10 ml","11.95","Lignocaine","1%","Ventricular arrythmias.Sympathetic nerve block.Haemorrhoids.Surface anaesthesia.Pupil dilation during phacoemulsification cataract surgery.","Dental anaesthesia.Hypovolaemia,heart block or other conduction disturbances.","Especially after myocardial infarction.Hepatic or renal impairment,CHF and following cardiac surgery,bradycardia,resp depression.Pregnancy.","Infiltration anaesthesia.Dizziness,confusion,resp depression and convulsions.Hypotension and bradycardia leading to cardiac arrest,anaphylaxis."
"Calcindon(Inj)(5000 iu)","Bone pain; muscle weakness; fatigue; low calcium symptoms","Vitamin D deficiency; rickets/osteomalacia; hypocalcaemia; postmenopausal osteoporosis support","Injection","10 ml","11.95","10 ml","11.95","Vit D3","5000 iu","Vitamin D deficiency.","Vitamin D deficiency caused by intestinal malabsorption or chronic liver disease.","The hypocalcaemia of hypoparathyroidism.","Management of postmenopausal osteoporosis."
"Calcindon(Inj)(50 mcg)","Cracked lips; mouth soreness; sore throat; skin rash; eye irritation","Riboflavin deficiency; ariboflavinosis","Injection","10 ml","11.95","10 ml","11.95","Vit B2","50 mcg","To prevent and treat ariboflavinosis.","","",""
"Ceflox(60 ml)(100 mg)","Fever; burning urination; cough/respiratory infection symptoms; skin redness/swelling; eye/ear pain or discharge; diarrhea","Urinary/genito-urinary infection; respiratory infection; skin/soft tissue infection; typhoid; tuberculosis support; eye/ear infection","Syrup","5 ml","4.92","60 ml","59.0","Ofloxacin","100 mg","Skin and soft tissue infections.Typhoid fever,Multi drug resistant tuberculosis.Acute and sub-acute eye and ear infections.","Hypersensitivity.Pregnancy,lactation and Epilepsy.","Renal insufficiency.Concomitant use of aluminium and magnesium containing antacids.Myasthenia gravis.Elderly.","Nausea,vomiting,abdominal pain,diarrhoea,headache,dizziness,insomnia,tendon damage and rupture,anorexia,photosensitivity.Anaphylaxis."
"Ceflox(E/E)(10 ml)","Diarrhea; fever; abdominal pain; burning urination; wound redness/swelling; eye redness/discharge","Bacterial gastroenteritis; typhoid; urinary tract infection; gonorrhoea/chancroid; bone/soft tissue/wound/gynaecological infection; conjunctivitis","Drop","1 ml","1.61","10 ml","16.1","Ciprofloxacin","0.3% w/v","Urinary tract infections.Gonorrhoea.Chancroid.Bacterial Gastroenteritis.Typhoid.Bone,soft tissue,gynaecological and wound infections.Conjunctivitis.","Hypersensitivity.Pregnancy,lactation,children and adolescents.","This drug may cause low blood sugar and mental health related side effects.G6PD deficiency.Electrolyte disturbances.","GI disturbances.Headache,restleness and arthralgia.Phototoxicity.Anaphylactoid reaction.Mild transient smarting sensation and conjunctival congestion.Convulsions,rashes."
"Combiflam(60 ml)(100 mg)","Fever; pain; swelling; joint stiffness; menstrual cramps; muscle pain","Fever; dysmenorrhoea; rheumatoid arthritis; osteoarthritis; acute gout; musculoskeletal injury; juvenile idiopathic arthritis","Syrup","5 ml","1.67","60 ml","20.0","Ibuprofen","100 mg","Analgesic,antipyretic,dysmenorrhoea,rheumatoid arthritis,osteoarthritis,musculo skeletal disorders,soft tissue injuries,tooth extraction,post-partum and post operatively,acute gout.Juvenile idiopathic arthritis.","Active peptic ulcer,GI bleeding.Pregnancy and lactation.Hypersensitivity.Neonates with congenital heart disease.","Asthma,bleeding disorders,cardiovascular diseases and those receiving coumarin anticoagulants.Renal or hepatic disorders,CV disease.","GI intolerance,rash,rarely jaundice,thrombocytopenia oedema."
"Combiflam(60 ml)(162.5 mg)","Fever; headache; body ache; mild to moderate pain","Fever; common cold/viral fever; pain management","Syrup","5 ml","1.67","60 ml","20.0","Paracetamol","162.5 mg","Analgesic and antipyretic.","Hypersensitivity.Severe hepatic impairment.","Alcoholism-G6PD deficiency.Renal or hepatic impairment.","Nausea,rashes,liver toxicity.Leukopenia is rare.Acute renal tubular necrosis.Very rare,blood dyscrasias."
"Combiflam(100 ml)(100 mg)","Fever; pain; swelling; joint stiffness; menstrual cramps; muscle pain","Fever; dysmenorrhoea; rheumatoid arthritis; osteoarthritis; acute gout; musculoskeletal injury; juvenile idiopathic arthritis","Suspension","5 ml","1.06","`100 ml","21.15","Ibuprofen","100 mg","Analgesic,antipyretic,dysmenorrhoea,rheumatoid arthritis,osteoarthritis,musculo skeletal disorders,soft tissue injuries,tooth extraction,post-partum and post operatively,acute gout.Juvenile idiopathic arthritis.","Active peptic ulcer,GI bleeding.Pregnancy and lactation.Hypersensitivity.Neonates with congenital heart disease.","Asthma,bleeding disorders,cardiovascular diseases and those receiving coumarin anticoagulants.Renal or hepatic disorders,CV disease.","GI intolerance,rash,rarely jaundice,thrombocytopenia oedema."
"Combiflam(100 ml)(162.5 mg)","Fever; headache; body ache; mild to moderate pain","Fever; common cold/viral fever; pain management","Suspension","5 ml","1.06","100 ml","21.15","Paracetamol","162.5 mg","Analgesic and antipyretic.","Hypersensitivity.Severe hepatic impairment.","Alcoholism-G6PD deficiency.Renal or hepatic impairment.Hypersensitivity.Severe hepatic impairment.","Nausea,rashes,liver toxicity.Leukopenia is rare.Acute renal tubular necrosis.Very rare,blood dyscrasias."
"Combiflam(400+325)(400 mg)","Fever; pain; swelling; joint stiffness; menstrual cramps; muscle pain","Fever; dysmenorrhoea; rheumatoid arthritis; osteoarthritis; acute gout; musculoskeletal injury; juvenile idiopathic arthritis","Tablet","1 Tablet","1.43","20 Tablet","28.63","Ibuprofen","400 mg","Analgesic,antipyretic,dysmenorrhoea,rheumatoid arthritis,osteoarthritis,musculo skeletal disorders,soft tissue injuries,tooth extraction,post-partum and post operatively,acute gout.Juvenile idiopathic arthritis.","Active peptic ulcer,GI bleeding.Pregnancy and lactation.Hypersensitivity.Neonates with congenital heart disease.","Asthma,bleeding disorders,cardiovascular diseases and those receiving coumarin anticoagulants.Renal or hepatic disorders,CV disease.","GI intolerance,rash,rarely jaundice,thrombocytopenia oedema."
"Combiflam(400+325)(325 mg)","Fever; headache; body ache; mild to moderate pain","Fever; common cold/viral fever; pain management","Tablet","1 Tablet","1.43","20 Tablet","28.63","Paracetamol","325 mg","Analgesic and antipyretic.","Hypersensitivity.Severe hepatic impairment.","Alcoholism-G6PD deficiency.Renal or hepatic impairment.Hypersensitivity.Severe hepatic impairment.","Nausea,rashes,liver toxicity.Leukopenia is rare.Acute renal tubular necrosis.Very rare,blood dyscrasias."
"Crocin(1000 mg)","Fever; headache; body ache; mild to moderate pain","Fever; common cold/viral fever; pain management","Tablet","1 Tablet","1.24","10 Tablet","12.39","Paracetamol","1000 mg","Analgesic and antipyretic.","Hypersensitivity.Severe hepatic impairment.","Alcoholism-G6PD deficiency.Renal or hepatic impairment.","Nausea,rashes,liver toxicity.Leukopenia is rare.Acute renal tubular necrosis.Very rare,blood dyscrasias."
"Crocin(60 ml)","Fever; headache; body ache; mild to moderate pain","Fever; common cold/viral fever; pain management","Syrup","5 ml","3.15","60 ml","37.77","Paracetamol","120 mg","Analgesic and antipyretic.","Hypersensitivity.Severe hepatic impairment.","Alcoholism-G6PD deficiency.Renal or hepatic impairment.","Nausea,rashes,liver toxicity.Leukopenia is rare.Acute renal tubular necrosis.Very rare,blood dyscrasias."
"Crocin Quik(500 mg)","Fever; headache; body ache; mild to moderate pain","Fever; common cold/viral fever; pain management","Tablet","1 Tablet","1.28","10 Tablet","12.75","Paracetamol","500 mg","Analgesic and antipyretic.","Hypersensitivity.Severe hepatic impairment.","Alcoholism-G6PD deficiency.Renal or hepatic impairment.","Nausea,rashes,liver toxicity.Leukopenia is rare.Acute renal tubular necrosis.Very rare,blood dyscrasias."
"Crocin Pain Relief(650+50)","Fever; headache; body ache; mild to moderate pain","Fever; common cold/viral fever; pain management","Tablet","1 Tablet","2.25","10 Tablet","22.53","Paracetamol","650 mg","Analgesic and antipyretic.","Hypersensitivity.Severe hepatic impairment.","Alcoholism-G6PD deficiency.Renal or hepatic impairment.","Nausea,rashes,liver toxicity.Leukopenia is rare.Acute renal tubular necrosis.Very rare,blood dyscrasias."
"Crocin(15 ml)","Fever; headache; body ache; mild to moderate pain","Fever; common cold/viral fever; pain management","Drop","1 ml","2.15","15 ml","32.27","Paracetamol","100 mg","Analgesic and antipyretic.","Hypersensitivity.Severe hepatic impairment.","Alcoholism-G6PD deficiency.Renal or hepatic impairment.","Nausea,rashes,liver toxicity.Leukopenia is rare.Acute renal tubular necrosis.Very rare,blood dyscrasias."
"Dexona(Eye)","Diarrhea/dysentery; wound infection symptoms; burn infection symptoms; ear/eye discharge","Bacterial diarrhoea/dysentery; infected wound/burn; external ear infection; conjunctivitis; bowel preparation/hepatic coma support","Drop","2.5 ml","8.32","2.5 ml","8.32","Neomycin","0.50%","Orally used for bacterial diarrhoeas and dysentery.Preparation of bowel before surgery.Hepatic coma.Topically for infected wound,burn,external ear infections,conjunctivities.","Hypersensitivity.Renal Impairment.Pregnancy and lactation.","It decreases absorption of digoxin,bile acid reabsorption and lowers plasma cholesterol levels.Due to marked suppression of gut flora,super infection can occur.","Ototoxicity and nephrotoxicity."
"Dolofen(50 ml)","Fever; headache; body ache; mild to moderate pain","Fever; common cold/viral fever; pain management","Suspension","5 ml","1.28","50 ml","12.8","Paracetamol","162.5 mg","Analgesic and antipyretic.","Hypersensitivity.Servere hepatic impairment.","Alcoholism-G6PD deficiency.Renal or hepatic impairment.","Nausea,rashes,liver toxicity.Very rare,blood dyscrasias."
"Dex(8 mg)","Severe inflammation; allergy symptoms; swelling; shock symptoms; headache from brain oedema","Allergic/inflammatory conditions; autoimmune disorders; multiple sclerosis exacerbation; unresponsive shock; brain oedema","Injection","1 ml","4.74","2 ml","9.48","Dexamethasone","4 mg","Anti inflammatory and anti allergic,acute exacerbation of multiple sclerosis,autoimmune disorders,unresponsive shock,to reduce brain oedema caused by infections or brain tumour.","Renal failure,diabetes mellitus,psychosis,osteoporosis.CHF,tuberculosis and other systemic infections.Contraindicated during pregnancy","Patients with hypothyroidism,cirrhosis,hypertension,CHF,ulcerative colitis,thromboembolic disoreders,osteoporosis,glaucoma,cataracts or TB of the ye,diabetes.Elderly.children and adolescent,pregnancy and lactation","Cushings habitus(rounded face,narrow mouth).Fragile skin,easy bruising,telengiectasis,hirsutism.Cutaneous atrophy occurs with topical use.Hyperglycaemia.glycosuria,muscular weakness.Delayed healing of wounds and surgical incisions"
"Dom DT(10 mg)","Nausea; vomiting; bloating; reflux; indigestion","Acute nausea/vomiting; reflux oesophagitis; duodenogastric dyspepsia; gastric motility disorder","Tablet","1 Tablet","2.16","10 Tablet","21.6","Domperidone","10 mg","Symptomatic relief of acute nausea and vomiting.Gastric motility disorders such as reflux oesophagitis and duodenogastric dyspeptic symptoms.","Hypersensitivity .GI haemorrhage,obstruction and perforation,patients with prolactin releasing pituitary hormone,chronic admin or routine prophylaxis of postoperative nausea and vomiting","Phaeochromocytoma,children below two year,elderly,renal or hepatic imparirment.Risk of cardiac arrhythmias and hypokalaemia if administered IV.Pregnancy and lactation","Drowsiness,extraphramidal reactions,galactorrhoea,gynaecomatia,constipation or diarrhoea,lassitude,decreased libido,skin rash,itch."
"Eith(500 mg)","Bleeding; nosebleed; blood in vomit/stool/urine/sputum; heavy menstrual bleeding","Capillary haemorrhage; menorrhagia; metrorrhagia; post-abortion/post-partum bleeding; epistaxis; haematuria; haemoptysis; melena","Tablet","1 Tablet","8.9","10 Tablet","89.0","Ethamsylate","500 mg","Prevention and treatment of capillary haemorrhanges associated with(i)Haematemesis,melena.heamoptysis,heamaturia,epitaxis(ii)menorrhagia,metrorrhagia,post-abortion and post-partum haemorrhages.","Hypersensitivity","Patient with acute porphyria.","Headache,rash,nausea.Trasient hypotension with i.v.injection."
"Facital(250 mg)","Fever with chills; sweating; headache; body ache; malaria symptoms","Chloroquine-resistant malaria; severe malaria due to P. falciparum/P. vivax; cerebral malaria","Tablet","1 Tablet","38.33","6 Tablet","230.0","Mefloquine","250 mg","Used as a second line treatment in chloroquine resistant malaria,severe malaria due to P.falciparum and P-vivax including cerebral malaria.","Hypersensitivity.History psychiatric illness and seizure disorders.Lactation.Severe hepatic and renal impairment.","Should be used during pregnancy only if the potential benefits justifies the potential risk to the foetus.","Nausea,vomiting,abdominal pain,diarrhoea,headache,dizziness,sleep disorders,vertigo,visual/auditory disturbances,sialorrhea,syncope,pruritus."
"Facid(20 mg)","Not specified in source; verify drug/indication before use","Not specified in source; verify disease mapping before use","Injection","1 ml","1.2","2 ml","2.39","","","","","",""
"Facicap","Fatigue; weakness; pallor; dizziness; breathlessness on exertion","Iron-deficiency anaemia","Capsule","1 Capsule","1.4","10 Capsule","14.0","Ferrous Fumarate","350 mg","iron-deficiency anaemia","Undiagnosed,megaloblastic anaemia,pernicious,aplastic or normocytic anaemias.","Treatment resistance may occur in patients with depressed haematopoiesis,alcoholism,deficiencies of other vitamins.Neonates.","Rarely hypersensitivity,Gastro-intenstinal irritation can occur with iron salts"
"Glycin(250 mg)","Fever; severe bacterial infection symptoms; burning urination; wound infection symptoms","Serious bacterial infections; gram-negative infection; urinary tract infection; sepsis; respiratory/intra-abdominal infection","Injection","1 Vial","35.0","1 Vial","35.0","Amikacin Sulphate","250 mg","","","",""
"Glyloc(80 mg)","High blood sugar; excessive thirst; frequent urination; fatigue","Type 2 diabetes mellitus; non-insulin dependent diabetes mellitus","Tablet","1 Tablet","3.0","10 Tablet","30.0","Gliclazide","80 mg","Non-insulin dependent diabetes mellitus.","Type 1 DM,diabetes complicated with ketoacidosis,hypersensitivity,severe renal and hepatic impairment.Pregnancy and lactation.","Diuretics and barbiturates may reduce the drug activity.","GI disturbances,skin reaction,leucopenia,vomiting,diarrhoea,gastritis,increased transaminases."
"Glucofit(30 mg)","High blood sugar; excessive thirst; frequent urination; fatigue","Type 2 diabetes mellitus; non-insulin dependent diabetes mellitus","Capsule","1 Capsule","2.0","10 Capsule","20.0","Gliclazide","30 mg","Non-insulin dependent diabetes mellitus.","Type 1 DM,diabetes complicated with ketoacidosis,hypersensitivity,severe renal and hepatic impairment.Pregnancy and lactation.","Diuretics and barbiturates may reduce the drug activity.","GI disturbances,skin reaction,leucopenia,vomiting,diarrhoea,gastritis,increased transaminases."
